a_value,price_drug,relative_price,EV_total,policy_indicator
0.7000000000000001,13.362967449814697,-10,16.406859913494525,Policy 2
0.7000000000000001,14.105354530359955,-5,16.261707653130195,Policy 2
0.7000000000000001,14.84774161090522,0,16.12099544856176,Policy 2
0.7000000000000001,15.59012869145048,5,15.98488719698286,Policy 2
0.7000000000000001,16.33251577199574,10,15.853405084355389,Policy 2
0.7000000000000001,17.074902852541005,15,15.72641578748456,Policy 2
0.7000000000000001,17.817289933086265,20,15.603615946538167,Policy 2
0.7000000000000001,18.559677013631525,25,15.484541317625931,Policy 2
0.7000000000000001,19.30206409417679,30,15.368809805356642,Policy 2
0.8,10.393419127633653,-30,17.01716531918127,Policy 2
0.8,11.135806208178913,-25,16.857608335765182,Policy 2
0.8,11.878193288724171,-20,16.700345486492292,Policy 2
0.8,12.620580369269437,-15,16.546112761065025,Policy 2
0.8,13.362967449814697,-10,16.39556754132951,Policy 2
0.8,14.105354530359955,-5,16.249393184207577,Policy 2
0.8,14.84774161090522,0,16.10807213220372,Policy 2
0.8,15.59012869145048,5,15.971884886482915,Policy 2
0.8,16.33251577199574,10,15.84084869714532,Policy 2
0.8,17.074902852541005,15,15.714789596114905,Policy 2
0.8,17.817289933086265,20,15.593244601181214,Policy 2
0.8,18.559677013631525,25,15.475720960949051,Policy 2
0.8,19.30206409417679,30,15.36161785247382,Policy 2
0.9,10.393419127633653,-30,17.013480401331584,Policy 2
0.9,11.135806208178913,-25,16.852686255903343,Policy 2
0.9,11.878193288724171,-20,16.694105086334186,Policy 2
0.9,12.620580369269437,-15,16.5384620419895,Policy 2
0.9,13.362967449814697,-10,16.386612534064973,Policy 2
0.9,14.105354530359955,-5,16.23942516447469,Policy 2
0.9,14.84774161090522,0,16.09748675848558,Policy 2
0.9,15.59012869145048,5,15.961217585850894,Policy 2
0.9,16.33251577199574,10,15.830632286101617,Policy 2
0.9,17.074902852541005,15,15.705497543240154,Policy 2
0.9,17.817289933086265,20,15.58519346338879,Policy 2
